Startup_ID,Funding_Amount_MUSD,Revenue_MUSD,Profit_Margin,Burn_Rate_MUSD,Employees,Years_Active,Customer_Growth_Rate,Debt_Level_MUSD,Operational_Cost_MUSD,Market_Competition,Founder_Experience,Industry,Region,Bankrupt
7672.0,281.11655627047963,213.51257080041546,0.3432352250789281,4.440271336281288,1901.0,4.0,0.02978499619554026,160.72844804304026,53.20146186728203,Medium,Medium,AI,Asia,0
4595.0,214.30579755517783,145.68003654120776,-0.22551124054646263,21.340923647930385,2929.0,15.0,-0.026666492013773718,97.36906851653089,15.02063975484494,Low,Low,Health,Asia,1
9562.0,37.06358279666439,36.03742549046229,-0.16075548825359698,9.358967435460796,890.0,13.0,-0.03731873229057481,135.61346787416898,14.940815690128215,High,Medium,AI,Asia,1
5325.0,28.42818711307121,68.49603436753948,0.10885863663226802,14.240941723871869,3719.0,6.0,0.2203344024695542,142.82160036055114,99.43070188251092,Low,Low,Health,Middle East,0
7342.0,198.74235398335858,208.18102772882906,-0.2307880608033955,39.88099510314885,3421.0,14.0,-0.003138642126987057,146.03286468010597,5.67355839470688,High,Medium,FinTech,North America,1
5407.0,483.3444882271576,220.2973514954857,-0.20228540473725462,19.498275014533974,1900.0,13.0,-0.1628875892680206,178.63158285791638,8.042427466597207,Medium,Medium,FinTech,Middle East,1
5136.0,189.11609747613397,33.54526476064829,-0.2708323022719694,27.497629702763255,742.0,9.0,-0.09766643354975035,112.04812542871109,53.146049635048364,High,Medium,E-commerce,Middle East,1
7124.0,439.8518840624343,240.22281396586848,0.2905597123682837,21.682369885768335,544.0,6.0,0.04188870877683676,108.05862614588997,92.38134795317065,High,Medium,E-commerce,Asia,0
4826.0,80.78000191985426,39.98967089819739,-0.11271645775702233,39.78565394837871,3213.0,15.0,0.3648521264563505,133.72228805899272,5.773085037521672,Low,Medium,Tech,North America,1
3772.0,451.3041036097656,244.35616406566896,-0.10332505810504883,20.22303997403962,2052.0,14.0,0.23901269097923156,28.281903953102873,52.22075851212876,Medium,Low,FinTech,North America,0
4308.0,315.41647030397,55.9743875838659,0.07877391535795286,27.05379235763399,1983.0,9.0,0.2472906381875271,122.93099265167328,102.43769506335904,Medium,High,Tech,Asia,0
7654.0,406.34634902434533,250.62028592128962,0.2380141472385494,21.08428086021977,1993.0,2.0,0.38186421886493976,126.3158169057955,64.3207436536548,Medium,High,AI,North America,1
1761.0,227.73428994542047,208.43528655754096,0.45975795246454587,36.70162341383495,935.0,4.0,0.04081434196172723,11.108237735560847,89.13970162305637,Medium,Medium,AI,Europe,0
3732.0,484.07011434391603,95.78069313438051,-0.10799441171829444,3.1595893454059896,1347.0,5.0,0.020052760308525985,8.005710805745547,90.71686824930653,Medium,Medium,AI,North America,0
1367.0,358.19665737636217,126.19185150110187,0.09315167366354843,39.32126946802689,1192.0,16.0,0.2541721818801593,137.66697525255248,75.95425805490343,Medium,Medium,Health,North America,0
6175.0,256.457376710282,299.19752318611125,-0.03407313103077175,12.051529492596162,2224.0,15.0,0.32550176534728265,135.69425550399149,61.476477574362484,Medium,High,Tech,Middle East,0
2997.0,79.47933088167797,208.02629089464023,0.3613115006934017,16.991264827784466,559.0,6.0,-0.07593458111125893,147.96324280585333,16.476478716493844,Medium,Medium,Health,Europe,0
9290.0,111.52902437607251,219.76988022298374,0.10144077765821269,31.807010809666707,3485.0,17.0,0.0014528324744296217,138.13452517414203,105.82360019743368,Medium,High,E-commerce,Europe,0
4552.0,11.048786625695623,38.3646550329309,0.2932513269590421,39.66978369683166,1801.0,2.0,0.1957362020679569,176.00025347998664,20.49220471082183,Medium,High,AI,Asia,1
5169.0,102.5639020695613,174.79212063098203,0.46097151212985166,24.864024255477542,3022.0,5.0,-0.1935160133913293,170.0966000832851,58.412045367366915,Low,High,FinTech,Middle East,1
4617.0,404.60433542235035,75.97841273687621,-0.2400374608406164,18.78405366409662,1248.0,13.0,0.020372027230626644,20.062385925551332,104.24009691088008,Medium,Medium,Tech,Middle East,0
7698.0,345.07757024380214,239.0805743016685,0.17432545907193764,38.13276294224889,321.0,16.0,0.22693698511483007,127.04923074535333,50.48147395615662,High,High,Tech,North America,0
8032.0,321.462608864346,187.94689982980273,0.2966038719398959,30.911037422493376,2380.0,19.0,-0.16101621361225021,178.91588551243566,94.5093223891158,Low,High,Tech,Europe,1
,,,,,,,,,,,,,,1
3356.0,39.40886302105616,217.5270854013684,0.40265461161030436,34.46403910424083,1238.0,7.0,-0.1818259186869209,141.15648868101,7.796657228954951,Low,Medium,FinTech,Asia,1
5873.0,314.387201820199,195.59440743092455,0.47968553217422294,36.273858477142554,3053.0,19.0,-0.08931725668941456,27.437551764848898,93.31333318814124,Medium,Low,AI,Europe,0
6622.0,203.77683623345328,244.52322006343394,-0.20374368443133709,35.30152764270094,105.0,4.0,0.04872929119702571,136.80682471363755,24.987225172667983,Low,Medium,E-commerce,Asia,1
6875.0,428.1066696060576,156.5401507980329,-0.356017037163641,1.3083392943555514,306.0,19.0,-0.14554447879015747,147.46305185602773,5.129365804009792,Low,Medium,E-commerce,Europe,1
910.0,190.4665116754662,69.38513553824575,-0.29910086123042234,35.76814453223731,1450.0,4.0,0.03165475186941705,99.06683760661625,66.89828083901959,High,High,AI,Europe,1
5763.0,470.4346787579961,165.76112404205895,-0.07562573234679876,14.018936604951458,2189.0,18.0,0.17365297141097424,60.13037981170025,72.90069418181669,Medium,Medium,Tech,Asia,0
571.0,257.48075509074556,189.1871370662337,0.24089803956821798,30.45920911784402,610.0,9.0,0.282073019424991,74.84649844597881,51.93290416158088,Medium,Low,Tech,North America,0
8486.0,383.11589720272246,138.88691066744175,-0.031290631759142595,37.323899310481224,734.0,5.0,0.10009915708287048,87.60739992438263,88.02068119448833,Medium,Medium,Health,North America,0
6942.0,433.7089233495599,11.195429233928856,-0.17525522772849764,38.656417901970016,1101.0,1.0,0.21026861410137465,63.99688419313431,50.0607618619386,Low,High,Health,Europe,1
3666.0,219.6511280109239,262.96745785164387,0.3708870986199151,14.48335581750989,959.0,16.0,0.36179482502012,42.85212732947418,58.40961585520371,Medium,High,Tech,Europe,0
5393.0,434.12183373872057,87.74519120719253,-0.006865972086424976,37.611419220189255,509.0,9.0,-0.07360287873153554,14.263560721226924,115.77559284510875,High,Medium,AI,Europe,1
9410.0,254.6945823456689,102.97132453046322,0.007611170395960709,24.369673152925735,31.0,10.0,-0.026881575618703968,136.81880044335708,46.289011170922336,High,High,E-commerce,Europe,1
2070.0,165.77731737087728,97.25155359327141,-0.2549088274734671,26.574238237454075,265.0,15.0,-0.07094130658819478,75.46926398230629,43.94545821113637,Low,Low,Health,Middle East,1
2773.0,403.6757799511128,53.97060490964459,0.4259532281821121,4.333144124383825,3651.0,2.0,0.3801247126415724,120.12934955959966,78.29344163738878,Medium,Medium,FinTech,Europe,0
8016.0,386.347897670745,262.90386551286014,-0.14051153162445207,31.313275454552148,1010.0,11.0,-0.04571308767126653,41.39827439673901,34.637875392461176,High,Medium,AI,Europe,1
9411.0,79.53187891956492,170.72464627485434,-0.39735934797759115,1.0043125334247718,3776.0,9.0,0.3225706769319641,144.02315860015418,6.670481950431071,High,Low,FinTech,North America,0
5438.0,420.96938176384424,10.982152958563708,-0.1696549380910364,23.799972924118862,3968.0,18.0,0.09412091413105528,165.90364132118552,28.55455892898256,Low,High,E-commerce,Asia,1
4746.0,27.86143192932108,130.40125526248187,0.14888941457729532,21.145988763550516,3974.0,15.0,0.2582940591455995,112.880184683662,13.782583374092052,Low,High,FinTech,Europe,0
7305.0,21.252270355212847,248.91290855380643,0.46450643146310766,22.389618511858927,1676.0,18.0,-0.08754173431176505,120.07641078471588,105.79440007866955,Medium,Medium,Health,Asia,1
3484.0,460.7324485942748,28.570597384885065,0.4356875870846434,8.062767091458177,3719.0,4.0,0.2790651146884678,88.5851152184575,69.81343843155256,High,Medium,AI,Europe,0
3838.0,60.203239105048574,249.54472424783913,0.21685572131858477,3.887587412712379,848.0,18.0,0.22480446185141212,12.677356562396845,0.7101338916590726,Medium,Low,FinTech,North America,0
3110.0,307.03255075880213,52.50497413131089,-0.07681325481724804,36.25866773672882,3830.0,17.0,-0.13728030154940085,60.097653137794374,70.32738932895847,High,Medium,AI,Europe,1
